	,	true	,	9
Mesa	,	true	,	36887
Mesa 	,	true	,	919
Mesa AZ	,	true	,	21
Middleton	,	true	,	948
Millvale	,	true	,	27
Mint Hill	,	true	,	73
Monona	,	true	,	203
Mont-Royal	,	true	,	20
Montreal	,	true	,	802
Montréal	,	true	,	19483
Morristown	,	true	,	397
Mount Holly	,	true	,	5
Mount Lebanon	,	true	,	10
Mount Washington	,	true	,	46
Mt Lebanon	,	true	,	13
Munhall	,	true	,	31
Musselburgh	,	true	,	42
N Las Vegas	,	true	,	124
Nellis AFB	,	true	,	675
Nellis Afb	,	true	,	50
Nellis Air Force Base	,	true	,	8
New Town	,	true	,	23
Newbridge	,	true	,	4
North Las Vegas	,	true	,	19413
Oakland	,	true	,	6
Old Montreal	,	true	,	12
Old Town	,	true	,	13
Outremont	,	true	,	13
Paradise	,	true	,	1761
Paradise Valley	,	true	,	2145
Peoria	,	true	,	13563
Phoenix	,	true	,	252132
Phoenix Sky Harbor Center	,	true	,	3
Pierrefonds	,	true	,	9
Pineville	,	true	,	942
Pittsburgh	,	true	,	35659
Pointe Claire	,	true	,	37
Pointe-Aux-Trembles	,	true	,	4
Pointe-Claire	,	true	,	44
Portobello	,	true	,	166
Queen Creek	,	true	,	2426
Rankin	,	true	,	10
Regent Square	,	true	,	8
Rio Verde	,	true	,	76
Roosevelt	,	true	,	14
Rosemere	,	true	,	4
Rosemère	,	true	,	6
Roslin	,	true	,	6
Saint Leonard	,	true	,	4
Saint-Eustache	,	true	,	3
Saint-Hubert	,	true	,	6
Saint-Lambert	,	true	,	16
Saint-Laurent	,	true	,	350
Saint-Leonard	,	true	,	32
Sainte-Anne-De-Bellevue	,	true	,	16
Sainte-Anne-de-Bellevue	,	true	,	9
Sainte-Therese	,	true	,	3
San Tan Valley	,	true	,	204
Savoy	,	true	,	5
Scottsdale	,	true	,	128790
South Gyle	,	true	,	13
South Queensferry	,	true	,	10
Southside Flats	,	true	,	3
Spring Valley	,	true	,	37
St Leonard	,	true	,	11
St. Jacobs	,	true	,	5
Stanfield	,	true	,	3
Stoughton	,	true	,	9
Summerlin South	,	true	,	120
Sun City	,	true	,	544
Sun City Anthem	,	true	,	5
Sun City West	,	true	,	281
Sun Lakes	,	true	,	29
Sun Prairie	,	true	,	273
Surprise	,	true	,	7694
Surprise Crossing	,	true	,	40
Tega Cay	,	true	,	236
Tempe	,	true	,	49376
Tolleson	,	true	,	990
Tonopah	,	true	,	195
Tonto Basin	,	true	,	10
Tortilla Flat	,	true	,	77
Urbana	,	true	,	834
Verdun	,	true	,	135
Verona	,	true	,	70
Vimont	,	true	,	9
Waddell	,	true	,	255
Water of Leith	,	true	,	21
Waterloo	,	true	,	435
Waunakee	,	true	,	28
Waxhaw	,	true	,	3
Weddington	,	true	,	8
Wesley Chapel	,	true	,	159
West Homestead	,	true	,	922
West Mifflin	,	true	,	727
Westmount	,	true	,	131
Westworld Scottsdale	,	true	,	72
Whitney	,	true	,	24
Wickenburg	,	true	,	161
Wilkinsburg	,	true	,	31
Windsor	,	true	,	43
Wittmann	,	true	,	36
Youngtown	,	true	,	55
chandler	,	true	,	8
